
#####
##### DOWNLOADS
#####

# 2016-06-29
Item,Value,Value Percent,Conversions,Conversion Percent,URL,Stats URL
"https://fee.org/Content/images/file-icons/pdf.png",1,0,,,"https://fee.org/media/4602/folsom0503.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F4602%2Ffolsom0503.pdf"
"https://fee.org/Content/images/file-icons/pdf.png",1,0,,,"https://fee.org/media/5310/reed.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F5310%2Freed.pdf"
"the same",1,0,,,"http://davidcard.berkeley.edu/papers/mariel-impact.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fdavidcard.berkeley.edu%2Fpapers%2Fmariel-impact.pdf"
"https://fee.org/Content/images/file-icons/pdf.png",1,0,,,"https://fee.org/media/4296/schweikart1202.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F4296%2Fschweikart1202.pdf"
"1005Semmens",1,0,,,"https://fee.org/media/4624/1005semmens.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F4624%2F1005semmens.pdf"
"547_32",1,0,,,"https://fee.org/media/4495/547_32.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F4495%2F547_32.pdf"
"“substantially reduced employment on the island,”",1,0,,,"http://nber.org/chapters/c6909.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fnber.org%2Fchapters%2Fc6909.pdf"
" Download the February 1952 B issue (PDF)",1,0,,,"https://fee.org/media/13091/the-freeman-february-1952-b.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F13091%2Fthe-freeman-february-1952-b.pdf"
"pecquet0502",1,0,,,"https://fee.org/media/4272/pecquet0502.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F4272%2Fpecquet0502.pdf"
"Advice For Young, Unemployed Workers (PDF)",1,0,,,"https://fee.org/media/14939/tucker-adviceforyoungunemployedworkers.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14939%2Ftucker-adviceforyoungunemployedworkers.pdf"

